,soal,solusi,no_urut,folder,jawaban,gambar
25,#26. Wrapping an anniversary present costs onemonetary unit. The anniversary present costs 21 monetaryunits more than the cost to wrap it. How much does it cost toboth purchase and wrap the present?; ,"#26. The correct answer is 23. It is the cost of thepresent, 22 monetary units, plus one monetary unit of thewrapping.",26,medium1,23,25_medium1.jpg
26,"#27. In a tennis tournament, in every match a player iseliminated after losing to a single opponent. How manymatches does it take to determine the winner of a tennistournament that starts with 40 players? ","#27. The correct answer is 39. In every match youeliminate one player. Therefore, the result is the total numberof player minus one.",27,medium1,39,26_medium1.jpg
27,#28. There are 9 tennis games played simultaneously .How many diﬀerent forecasts are possible?,#28. The correct answer is 512. Every game is anindependent event with 2 possible results. The total numberof possibilities is 2 at the power of 9.,28,medium1,512,27_medium1.jpg
28,#29. I go south on an evening when the sun shines. T owhich side of me will my shadow fall? ,#29. The correct answer is D. If I go south then east isto my left and in the evening the shadow falls east.; ,29,medium1,D,28_medium1.jpg
29,"#30. In the last ﬁgure, in how many regions is thecircle divided into when all dots are connected?; Has 2 regions Has 4 regions; Has 8 regions; ",#30. The correct answer is 30.,30,medium1,30,29_medium1.jpg
30,#31. The letters around the squares follow a pattern.Which letter should replace the question mark in the lastsquare?; C GKO; B FJNA; EI?,#31. The correct answer is M. Every letter is calculatedby taking the alphabetical position of the previous characterand adding 4 to it in order to get the position of the nextletter.,31,medium1,M,30_medium1.jpg
31,#32. How many circles do you count?,#32. The correct answer is 14.,32,medium1,14,31_medium1.jpg
32,#33. T o what number should the large handle of the'Figure D' clock point? Answer using numbers.; ,"#33. The correct answer is 3. Starting from the ﬁrstclock, add 15 to the number obtained by appending thevalues to which the hands point. For example, the value of thehands for 'Figure D' is 83 (68 + 15).",33,medium1,3,32_medium1.jpg
33,"#34. Looking horizontally and vertically to the lines ofthe grid below, which is the number 3 places away from itselfmultiplied by 2 and 3 places away from itself plus 2?; 12; 12; 33; 31; 34; 4530; 5; 30; 24; 1; 2431; 20; 10; 49; 22; 3125; 29; 3; 28; 4; 448; 11; 47; 47; 46; 3525; 40; 36; 35; 21; 43; ","#34. The correct answer is 20. The number is locatedat row 2, column 3.",34,medium1,20,33_medium1.jpg
34,#35. A ﬁle is protected by a password formed by a 2digits represented in base 8 (ranging from 0 to 7). How manydiﬀerent passwords can you have? ,#35. The correct answer is 64. Every digit has 8possibilities. The total number of possibilities is 8 at the powerof 2.,35,medium1,64,34_medium1.jpg
35,"#36. The next sequence follows a logic. What numbershould replace the question mark?; 4, 15, 48, 147, 444, ?",#36. The correct answer is 1335. Every number in thesequence is the result of adding 1 to the previous number andmultiplying it by 3.,36,medium1,1335,35_medium1.jpg
36,"#37. If the circles represented by the arcs below werecompleted, which circle would have the largest diameter?","#37. The correct answer is B. Less curved is the arc,the larger the circle is.",37,medium1,B,36_medium1.jpg
37,#38. John needs 36 hours to clean a warehouse and hisfriend needs half as many . How many hours would it takethem to clean up the warehouse if they worked together?,#38. The correct answer is B. John cleans at the speedof 1 / 36 per hour and his friend at 1 / 18. T ogether they willneed 12 hours.,38,medium1,B,37_medium1.jpg
38,#39. The average of three numbers is 35. The averageof two of these numbers is 39. What is the third number?,#39. The correct answer is B. It is the result of theoperation: (35 * 3) - (39 * 2).,39,medium1,B,38_medium1.jpg
39,#40. How many degrees rotates the minute hand of aclock in 2 hours 30 minutes?,#40. The correct answer is 900. Every hour rotates 360degrees.,40,medium1,900,39_medium1.jpg
40,#41. Which of the following ﬁgures cannot be drawnwithout crossing any previous lines nor lifting the pencil?,#41. The correct answer is B.; ,41,medium1,B,40_medium1.jpg
41,"#42. If p < x < q and r < y < s and you know that x >y is true, which of the following options is correct? ","#42. The correct answer is C. If x > y, then r < y < x <q, so r < q is true.",42,medium1,C,41_medium1.jpg
42,#43. John is 46 years old. His son is 6 years youngerthan half of John's age. How old is John's son? ,"#43. The correct answer is 17. John's son age isnowadays half of John's age minus 6, that is, (46 / 2) - 6.",43,medium1,17,42_medium1.jpg
43,#44. How many two digit numbers occur where theﬁrst digit is larger than the second (e.g.: 20 and 21)?,"#44. The correct answer is 45. The numbers are: 10,20, 21, 30, 31, 32, 40, 41, 42, 43, 50, 51, 52, 53, 54, 60, 61,62, 63, 64, 65, 70, 71, 72, 73, 74, 75, 76, 80, 81, 82, 83, 84,85, 86, 87, 90, 91, 92, 93, 94, 95, 96, 97, 98.",44,medium1,45,43_medium1.jpg
44,"#45. Given two integer numbers x and y, if x is evenand y odd, which of the following expressions gives always anodd result? ","#45. The correct answer is D. Multiplication of two evennumbers always produces an even number, so x multiplied by2 is even. Adding an odd number (y) to that even numberalways produces an odd number.",45,medium1,D,44_medium1.jpg
45,#46. Which circle does not belong to the group? It isnot a sequence of elements. ,#46. The correct answer is D. In all circles the colorslices follow the same order except for this one.,46,medium1,D,45_medium1.jpg
46,#47. Which of the following ﬁgures has the largestarea? ,#47. The correct answer is D.,47,medium1,D,46_medium1.jpg
47,#48. The ﬁgures and the texts are related. What textshould go under the last ﬁgure?; CDE ACF BDF; ABE ?,"#48. The correct answer is CDF. 'A' indicates that theﬁgures overlap, 'B' that are squares, 'C' that are circles, 'D'that the ﬁgures are separated, 'E' that there are three ﬁguresand 'F' that there are two ﬁgures.",48,medium1,CDF,47_medium1.jpg
48,#49. How many boxes measuring 1 x 1 x 0.5 can be ﬁtinto a container measuring 6 x 5 x 8?; ContainerBox,#49. The correct answer is 480. You can ﬁt 6 * 5 * 8 * 2boxes.,49,medium1,480,48_medium1.jpg
49,#50. John's father's sister's sister-in-law is also? Do notassume that John has any relative that has not beenmentioned. ,"#50. The correct answer is C. The sister's sister-in-law isJohn's father's wife, that is, John's mother.",50,medium1,C,49_medium1.jpg
50,#51. What is the minimum number of circles to bemoved in order to convert the left ﬁgure into the right ﬁgure? ,#51. The correct answer is 5. Move the ﬁrst line to theseventh; move the two circles of the second line to third; andmove ﬁrst and last circles of the ﬁfth line to the sixth.,51,medium1,5,50_medium1.jpg
51,#52. A ﬁle is protected by a password formed by a 6digits number represented in base 10 (ranging from 0 to 9).How many diﬀerent passwords can you have?,#52. The correct answer is 1000000. Every digit has 10possibilities. The total number of possibilities is 10 at thepower of 6.,52,medium1,1000000,51_medium1.jpg
52,#53. Which number should replace the question markbelow?; 15 14 35 6 70 3; 42 5 7 30 21 ?,#53. The correct answer is 10. The result of multiplyingthe two numbers inside every triangle is 210.; ,53,medium1,10,52_medium1.jpg
53,#54. How many triangles of any size do you count inthe ﬁgure below?; ,"#54. The correct answer is 16. The triangles are madeby connecting the following points: bdc, dcf, dfg, abd, ade,edg, acg, abg, bcg, afg, ecg, acd, acf, ace, adg, cdg.",54,medium1,16,53_medium1.jpg
54,"#55. Out of 40 people, 10 have brothers, 18 havesisters and 7 have both. How many people have neitherbrothers nor sisters? ","#55. The correct answer is 19. It is calculated by takingthe total number of people minus 3 people that have brothersonly, minus 11 that have sisters only and minus 7 that havesisters and brothers.",55,medium1,19,54_medium1.jpg
55,#56. What is the next logical sequence of objects in thelast column? ,#56. The correct answer is B. It is the only combinationthat you can build with the given elements without repeatingthem.,56,medium1,B,55_medium1.jpg
56,#57. Which is the next logical ﬁgure in the sequence?,"#57. The correct answer is A. From the top-left ﬁgure,the top-left circle moves down, the bottom-left circle movesup, the bottom-right moves diagonally up-left and the top-right moves diagonally down-left.",57,medium1,A,56_medium1.jpg
57,#58. Which square completes the ﬁgure below? ,"#58. The correct answer is A. In every row the thirdsquare is made by ﬂipping the ﬁrst square and superimposingit on the second square, followed by removing the matchinglines.",58,medium1,A,57_medium1.jpg
58,#59. One of the numbers in the grid must be circled.Which one?; 45 98 74 14; 83 59 17 69; 48 37 82 95; 87 7 52 93,#59. The correct answer is 82. Every circled numbercan be divided by 2.,59,medium1,82,58_medium1.jpg
59,"#60. John's age is nowadays 2 times his son's age. 12years ago, John was 3 times as old as his son. How old is John'sson nowadays?","#60. The correct answer is 24. John's age (variable x) isnowadays 2 times his son's age (variable y), that is x = 2y,and 12 years ago, John was 3 times as old as his son: x - 12 =(y - 12) * 3.",60,medium1,24,59_medium1.jpg
60,#61. Which is the next logical ﬁgure in the sequence?,"#61. The correct answer is B. From ﬁrst ﬁgure, the topcircle advances by two positions clockwise, while the left circlegoes backwards one position.",61,medium1,B,60_medium1.jpg
61,#62. John needs 18 hours to clean a warehouse and hisfriend needs twice as many . How many hours would it takethem to clean up the warehouse if they worked together?,#62. The correct answer is B. John cleans at the speedof 1 / 18 per hour and his friend at 1 / 36. T ogether they willneed 12 hours.,62,medium1,B,61_medium1.jpg
62,#63. Which larger shape can you make combining theﬁrst two ﬁgures? ,#63. The correct answer is A.,63,medium1,A,62_medium1.jpg
63,"#64. In the grid below, which number should replacethe question mark?; 1 4 3; 7 5 24 5 7; 1 6 10 27 1 5 4; 4 3 5 1 30 3 3 3 8; 2 5 4 28 10 3 4; 8 2 17 5 2; 8 ? 6",#64. The correct answer is 14. The number in themiddle of every row is the sum of the other numbers in therow.,64,medium1,14,63_medium1.jpg
64,"#65. In a small town, 60% of the inhabitants have a carand 10% have a car and are males. What percentage of thepopulation are females and have a car? ",#65. The correct answer is B. 50% (60 - 10) of theinhabitants are women and have a car.; ,65,medium1,B,64_medium1.jpg
65,#66. What is the result of the equation below?; 6 * 3 + 5 * 4 - 5 = ?; ,"#66. The correct answer is 33. The order of arithmeticaloperations is always as follows: exponents and roots,multiplication and division, addition and subtraction.",66,medium1,33,65_medium1.jpg
66,#67. How many line segments in total are in the ﬁguresbelow? A line segment is a line between two points with nocrossing lines. ,#67. The correct answer is 54. There are 15 lines in theﬁgure to the left and 39 in the ﬁgure to the right.,67,medium1,54,66_medium1.jpg
67,#68. John's shop had sales of 50 monetary units. Thiswas an increase of 25% over last month. What were lastmonth sales?; ,#68. The correct answer is 40.,68,medium1,40,67_medium1.jpg
68,#69. Which element does not belong to the group? It isnot related to any arithmetical of the numbers. ,#69. The correct answer is E. In all the other equationsthe digits from the left side also appear on the right side.,69,medium1,E,68_medium1.jpg
69,#70. What ﬁgure should replace the question mark?,"#70. The correct answer is B. Superpose the ﬁrst andsecond ﬁgures and remove the lines that they have incommon, then rotate the resulting ﬁgure 45 degrees.",70,medium1,B,69_medium1.jpg
70,#71. What percentage of the ﬁgure is colored? ,#71. The correct answer is 80.,71,medium1,80,70_medium1.jpg
71,#72. T wo men starting at the same point walk inopposite directions for 3 feet. Both turn left and walk another4 feet. What is the distance between them? ,"#72. The correct answer is C. Using the Pythagoreantheorem, the solution is 2 by the square root of (3^2 + 4^2).",72,medium1,C,71_medium1.jpg
72,"#73. A group of people, spaced out evenly, are sittingat a round table. How many people are there if the 9th personsits directly across from the 22nd?; Two people in the table sitting across from each other",#73. The correct answer is 26. Subtracting the twopositions you ﬁnd out how many people are seated half wayaround the table. Doubling this number leaves you with thetotal amount of people.,73,medium1,26,72_medium1.jpg
73,"#74. If no old misers are cheerful and some old misersare thin, which of the following conclusions is correct? ",#74. The correct answer is C.,74,medium1,C,73_medium1.jpg
74,"#75. When you fold the ﬁgure below as a cube, whichface on the ﬁgure is opposite the face with a 2 drawn on it?Answer the number written on the face.; 1 2; 3 4 5; 6",#75. The correct answer is 6.,75,medium1,6,74_medium1.jpg
75,"#76. Which three pieces can you use together to builda triangle? Answer using the three ﬁgure names, e.g.: ABC.; ",#76. The correct answer is CBE.,76,medium1,CBE,75_medium1.jpg
76,#77. The slices below have some kind of relation. Whichis the missing slice in the circle below? ,"#77. The correct answer is A. All numbers of each slice,when added to the ones of the opposite slice, add always 10.; ",77,medium1,A,76_medium1.jpg
77,#78. 5 hours ago it was as long after 2 AM as it wasbefore 2 PM on the same day . What is the time now? Answerusing the hour (e.g.: 2 PM); Sample clock; ,"#78. The correct answer is 1 PM. Determine the hourhalf way between the given times, and then add 5 hours toconvert it to the present time.",78,medium1,1 PM,77_medium1.jpg
78,#79. The numbers in the grid below follow a pattern.Which number should replace the question mark?; 2573; 37516; 77445; 038?,#79. The correct answer is -8. The fourth row iscalculated by multiplying the ﬁrst two rows and subtractingthe third.,79,medium1,-8,78_medium1.jpg
79,#80. T wo trains separated by 150 miles are headingtowards each other on straight parallel tracks. One travels at25 mph and the other at 50 mph. In how many hours willthey meet?,#80. The correct answer is 2. You can calculate theanswer by dividing the distance by the sum of both speeds.,80,medium1,2,79_medium1.jpg
80,#81. What is the maximum number of circles (asshown) that ﬁt in the square below?; 8 units8 units1 unit1 unit,#81. The correct answer is 68. Using the above layout0.134 units of height are gained per row leaving enoughspace for an additional row.,81,medium1,68,80_medium1.jpg
81,#82. John's mother's brother's brother-in-law is also? Donot assume that John has any relative that has not beenmentioned. ,"#82. The correct answer is A. The brother's brother-in-law is John's mother's husband, that is, John's father.",82,medium1,A,81_medium1.jpg
82,#83. How many small cubes does it take to build thelarge cube below? Answer using a number. ,#83. The correct answer is 64.,83,medium1,64,82_medium1.jpg
83,#84. How many squares of any size do you count in theﬁgure below?,"#84. The correct answer is 30. There are 16 singlesquares, 9 squares made by 4 single squares, 4 squares madeby 9 single squares and 1 square made by 16 single squares.",84,medium1,30,83_medium1.jpg
84,#85. Which of the possible answers have the most incommon with the four given ﬁgures? ,#85. The correct answer is B. It is the ﬁgure with themost elements in common compared to the given ﬁgures.,85,medium1,B,84_medium1.jpg
85,#86. All attendees to a party are introduced to oneanother. 10 handshakes are made in total. How many peopleare attending the party?; ,"#86. The correct answer is 5. Using n as the totalnumber of people, the ﬁrst person handshakes n-1 people, thesecond n-2 people, etc. The result is the sum of the ﬁrst n-1consecutive numbers: 1+2+3+...+(n-1).",86,medium1,5,85_medium1.jpg
86,#87. T wo unmodiﬁed 6 sided dice are thrownsimultaneously . What is the probability of getting two evennumbers? Answer using a fraction (e.g.: 1/2). ,#87. The correct answer is 9/36. There are 9 of 36possibilities of getting two even numbers.,87,medium1,9/36,86_medium1.jpg
87,#88. Which of the following ﬁgures does not belong tothe group? ,#88. The correct answer is D. It is the only ﬁgure withall lines of equal length.,88,medium1,D,87_medium1.jpg
88,"#89. If p < x < q and r < y < s and you know that x <y is true, which of the following options is correct? ","#89. The correct answer is C. If x < y, then p < x < y <s so s > p is true.; ",89,medium1,C,88_medium1.jpg
89,"#90. What number should replace the question mark?; 4, 7, 21, 6, 1, ?, 11, 8, 13; ",#90. The correct answer is 25. Every group of 3numbers sums exactly 32.,90,medium1,25,89_medium1.jpg
90,"#91. Using triangles only, how many triangles areneeded in the right part of the last ﬁgure to keep it balanced?; ?",#91. The correct answer is 7. Every circle is equivalentto two triangles and every square to three triangles.,91,medium1,7,90_medium1.jpg
91,"#92. You have two trucks that have a total weight of 60units. If the lighter truck weights 15 units less that half of theweight of the heavier truck, what is the weight of the lightertruck? ",#92. The correct answer is B. The heavier truck weights50 and the lighter 10.,92,medium1,B,91_medium1.jpg
92,"#93. On the dartboard below, where would you need tothrow the darts to add 120 points in 5 throws? Answer using alist of numbers (e.g.: 4, 5, 6, 3, 2); 4 1426 27","#93. The correct answer is 14, 26, 26, 27, 27.",93,medium1,"14, 26, 26, 27, 27",92_medium1.jpg
93,#94. What is the minimum number of square sheets ofpaper of any size required to create the ﬁgure? Lines indicatefrontiers between diﬀerent sheets.; ,"#94. The correct answer is 4. A full sized square ofpaper (yellow), a 3/4 of the whole size square of paper (blue)in the bottom right corner, another 3/4 square of paper(green) in the top left corner and a 1/4 square of paper (red)in the top left corner.",94,medium1,4,93_medium1.jpg
94,#95. How many four sided ﬁgures do you count in theﬁgure below? ,"#95. The correct answer is 13. The four sided ﬁguresare made by connecting the following points: abed, dehg,bcfe, eﬁh, acfd, dﬁg, abhg, bcih, acig, aghe, aefc, deig, bcie.",95,medium1,13,94_medium1.jpg
95,#96. What ﬁgure completes the set below? ,#96. The correct answer is B. It is the ﬁgure thatcompletes all possible combinations with four blocks withouttaking into account rotations.,96,medium1,B,95_medium1.jpg
96,#97. In a horse race there are people and horses. Youcount 82 eyes and 136 legs. How many horses are present? ,#97. The correct answer is 27. Every person has twolegs and every horse four (2 * 14 + 27 * 4). Every person andevery horse have also two eyes (2 * 14 + 2 * 27).,97,medium1,27,96_medium1.jpg
97,#98. How much weight is needed at the point indicatedby the question mark to balance the lever?; ?12; ,#98. The correct answer is 24. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,98,medium1,24,97_medium1.jpg
98,#99. How much weight is needed at the point indicatedby the question mark to balance the lever?; ?2,#99. The correct answer is 8. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,99,medium1,8,98_medium1.jpg
99,#100. You have 400 monetary units in your bankaccount at 10% interest compounded annually . How muchmoney will you have at the end of 2 years?; ,#100. The correct answer is 484. Compound interest ispaid on the principal plus any past interest accumulated.,100,medium1,484,99_medium1.jpg
