,soal,solusi,no_urut,folder,hasil,jawaban,gambar
31,#32. How much weight is needed at the point indicatedby the question mark to balance the lever?; ?4,#32. The correct answer is 16. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,32,easy1,0,16,31_easy1.jpg
32,#33. The amount of water in a bucket decreases by20%. By what percentage must the amount of water increaseto reach its original value?;  ,#33. The correct answer is 25. The objective is toobtain the same total amount.,33,easy1,0,25,32_easy1.jpg
33,#34. The slices below have some kind of relation. Whichis the missing slice in the circle below? ,"#34. The correct answer is C. All numbers of each slice,when added to the ones of the opposite slice, add always 8.",34,easy1,0,C,33_easy1.jpg
34,#35. We have a 146 meters piece of fabric. A machinetakes 5 seconds to cut 1 meter of this fabric. How manyseconds does the machine take to cut the entire piece offabric into 1 meter pieces? ,"#35. The correct answer is 725. With the cut number145, the machine creates two 1 meter pieces.",35,easy1,0,725,34_easy1.jpg
35,"#36. The next sequence follows a logic. What numbershould replace the question mark?; 5, 8, 14, 26, 50, ?",#36. The correct answer is 98. Every number in thesequence is the result of subtracting 1 from the previousnumber and multiplying it by 2.,36,easy1,0,98,35_easy1.jpg
36,#37. What is the minimum number of square sheets ofpaper of any size required to create the ﬁgure? Lines indicatefrontiers between diﬀerent sheets. ,"#37. The correct answer is 4. A full sized square ofpaper (yellow), a 3/4 of the whole size square of paper (blue)in the bottom right corner, another 3/4 square of paper(green) in the top left corner and a 1/4 square of paper (red)in the top left corner.",37,easy1,0,4,36_easy1.jpg
37,#38. If all painters are artists and some citizens ofBarcelona are artists. Which of the following conclusions iscorrect? ,#38. The correct answer is D.,38,easy1,0,D,37_easy1.jpg
38,#39. Which of the following ﬁgures does not belong tothe group? ,#39. The correct answer is A. It is the only ﬁgure withall lines of equal length.,39,easy1,0,A,38_easy1.jpg
39,"#40. In the last ﬁgure, in how many regions is thecircle divided into when all dots are connected?; Has 2 regions Has 4 regions; Has 8 regions",#40. The correct answer is 16.,40,easy1,0,16,39_easy1.jpg
40,#41. Which circle does not belong to the group? It isnot a sequence of elements. ,#41. The correct answer is D. In all circles the colorslices follow the same order except for this one.; ,41,easy1,0,D,40_easy1.jpg
41,#42. Which number should replace the question markbelow?; 8 20 5 32 40 4; 2 80 10 16 1 ?; ,#42. The correct answer is 160. The result ofmultiplying the two numbers inside every triangle is 160.,42,easy1,0,160,41_easy1.jpg
42,#43. What is the next logical sequence of objects in thelast column? ,#43. The correct answer is A. It is the only combinationthat you can build with the given elements without repeatingthem.,43,easy1,0,A,42_easy1.jpg
43,#44. The average of three numbers is 29. The averageof two of these numbers is 25. What is the third number?,#44. The correct answer is A. It is the result of theoperation: (29 * 3) - (25 * 2).,44,easy1,0,A,43_easy1.jpg
44,"#45. If the circles represented by the arcs below werecompleted, which circle would have the largest diameter?","#45. The correct answer is C. Less curved is the arc,the larger the circle is.",45,easy1,0,C,44_easy1.jpg
45,"#46. In the grid below, which number should replacethe question mark?; 12 40 8; 10 12 86 10 11; 9 5 5 76 8 6 5; 4 3 10 2 94 3 10 6 9; 9 2 5 72 5 5 10; 2 7 52 4 13; 12 ? 9; ",#46. The correct answer is 42. The number in themiddle of every row is the double of the sum of the othernumbers in the row.,46,easy1,0,42,45_easy1.jpg
46,"#47. If p < x < q and r < y < s and you know that x <y is true, which of the following options is correct? ","#47. The correct answer is D. If x < y, then p < x < y <s so s > p is true.",47,easy1,0,D,46_easy1.jpg
47,#48. There are 8 tennis games played simultaneously .How many diﬀerent forecasts are possible?,#48. The correct answer is 256. Every game is anindependent event with 2 possible results. The total numberof possibilities is 2 at the power of 8.,48,easy1,0,256,47_easy1.jpg
48,#49. What percentage of the ﬁgure is colored? ,#49. The correct answer is 30.,49,easy1,0,30,48_easy1.jpg
49,#50. T wo trains separated by 340 miles are headingtowards each other on straight parallel tracks. One travels at20 mph and the other at 65 mph. In how many hours willthey meet?; ,#50. The correct answer is 4. You can calculate theanswer by dividing the distance by the sum of both speeds.,50,easy1,0,4,49_easy1.jpg
50,"#51. Which three pieces can you use together to builda triangle? Answer using the three ﬁgure names, e.g.: ABC.; ",#51. The correct answer is EFA.,51,easy1,0,EFA,50_easy1.jpg
51,#52. John needs 48 hours to clean a warehouse and hisfriend needs half as many . How many hours would it takethem to clean up the warehouse if they worked together?,#52. The correct answer is B. John cleans at the speedof 1 / 48 per hour and his friend at 1 / 24. T ogether they willneed 16 hours.,52,easy1,0,B,51_easy1.jpg
52,#53. Which larger shape can you make combining theﬁrst two ﬁgures? ,#53. The correct answer is D.; ,53,easy1,0,D,52_easy1.jpg
53,#54. John needs 30 hours to clean a warehouse and hisfriend needs twice as many . How many hours would it takethem to clean up the warehouse if they worked together?,#54. The correct answer is D. John cleans at the speedof 1 / 30 per hour and his friend at 1 / 60. T ogether they willneed 20 hours.,54,easy1,0,D,53_easy1.jpg
54,#55. How many boxes measuring 1 x 1 x 0.5 can be ﬁtinto a container measuring 6 x 5 x 6?; ContainerBox,#55. The correct answer is 360. You can ﬁt 6 * 5 * 6 * 2boxes.,55,easy1,0,360,54_easy1.jpg
55,#56. In a horse race there are people and horses. Youcount 192 eyes and 288 legs. How many horses are present?,#56. The correct answer is 48. Every person has twolegs and every horse four (2 * 48 + 48 * 4). Every person andevery horse have also two eyes (2 * 48 + 2 * 48).,56,easy1,0,48,55_easy1.jpg
56,#57. How many squares of any size do you count in theﬁgure below? ,"#57. The correct answer is 30. There are 16 singlesquares, 9 squares made by 4 single squares, 4 squares madeby 9 single squares and 1 square made by 16 single squares.",57,easy1,0,30,56_easy1.jpg
57,"#58. Using triangles only, how many triangles areneeded in the right part of the last ﬁgure to keep it balanced?; ?; ",#58. The correct answer is 7. Every circle is equivalentto two triangles and every square to three triangles.,58,easy1,0,7,57_easy1.jpg
58,#59. John's father's sister's sister-in-law is also? Do notassume that John has any relative that has not beenmentioned. ,"#59. The correct answer is B. The sister's sister-in-law isJohn's father's wife, that is, John's mother.",59,easy1,0,B,58_easy1.jpg
59,#60. What ﬁgure should replace the question mark?,"#60. The correct answer is B. Superpose the ﬁrst andsecond ﬁgures and remove the lines that they have incommon, then rotate the resulting ﬁgure 45 degrees.",60,easy1,0,B,59_easy1.jpg
60,"#61. Out of 40 people, 11 have brothers, 18 havesisters and 8 have both. How many people have neitherbrothers nor sisters? ","#61. The correct answer is 19. It is calculated by takingthe total number of people minus 3 people that have brothersonly, minus 10 that have sisters only and minus 8 that havesisters and brothers.",61,easy1,0,19,60_easy1.jpg
61,#62. Which element does not belong to the group? It isnot related to any arithmetical of the numbers. ,#62. The correct answer is B. In all the other numbersthe last three digits are the square of the ﬁrst two digits.,62,easy1,0,B,61_easy1.jpg
62,#63. T wo unmodiﬁed 6 sided dice are thrownsimultaneously . What is the probability of getting two evennumbers? Answer using a fraction (e.g.: 1/2). ,#63. The correct answer is 9/36. There are 9 of 36possibilities of getting two even numbers.,63,easy1,0,9/36,62_easy1.jpg
63,#64. What is the minimum number of circles to bemoved in order to convert the left ﬁgure into the right ﬁgure?,#64. The correct answer is 5. Move the ﬁrst line to theseventh; move the two circles of the second line to third; andmove ﬁrst and last circles of the ﬁfth line to the sixth.,64,easy1,0,5,63_easy1.jpg
64,#65. Which of the following ﬁgures cannot be drawnwithout crossing any previous lines nor lifting the pencil?,#65. The correct answer is B.; ,65,easy1,0,B,64_easy1.jpg
65,"#66. What number should replace the question mark?; 5, 4, 1, 1, 3, ?, 4, 5, -1; ",#66. The correct answer is -2. Divide the sequence ingroups of three numbers. Every third number is calculated bysubtracting the second number from the ﬁrst.,66,easy1,0,-2,65_easy1.jpg
66,#67. How many two digit numbers occur where theﬁrst digit is smaller than the second (e.g.: 12 and 13)? ,"#67. The correct answer is 36. The numbers are: 12,13, 14, 15, 16, 17, 18, 19, 23, 24, 25, 26, 27, 28, 29, 34, 35,36, 37, 38, 39, 45, 46, 47, 48, 49, 56, 57, 58, 59, 67, 68, 69,78, 79, 89.",67,easy1,0,36,66_easy1.jpg
67,"#68. A group of people, spaced out evenly, are sittingat a round table. How many people are there if the 4th personsits directly across from the 12th?; Two people in the table sitting across from each other",#68. The correct answer is 16. Subtracting the twopositions you ﬁnd out how many people are seated half wayaround the table. Doubling this number leaves you with thetotal amount of people.,68,easy1,0,16,67_easy1.jpg
68,#69. What ﬁgure completes the set below? ,#69. The correct answer is C. It is the ﬁgure thatcompletes all possible combinations with four blocks withouttaking into account rotations.,69,easy1,0,C,68_easy1.jpg
69,#70. Which is the next logical ﬁgure in the sequence?,"#70. The correct answer is C. From the top-left ﬁgure,the top-left circle moves down, the bottom-left circle movesup, the bottom-right moves diagonally up-left and the top-right moves diagonally down-left.",70,easy1,0,C,69_easy1.jpg
70,#71. Which square completes the ﬁgure below? ,"#71. The correct answer is B. In every row the thirdsquare is made by ﬂipping the ﬁrst square and superimposingit on the second square, followed by removing the matchinglines.",71,easy1,0,B,70_easy1.jpg
71,#72. John's mother's brother's brother-in-law is also? Donot assume that John has any relative that has not beenmentioned. ,"#72. The correct answer is C. The brother's brother-in-law is John's mother's husband, that is, John's father.",72,easy1,0,C,71_easy1.jpg
72,#73. How many four sided ﬁgures do you count in theﬁgure below? ,"#73. The correct answer is 13. The four sided ﬁguresare made by connecting the following points: abed, dehg,bcfe, eﬁh, acfd, dﬁg, abhg, bcih, acig, aghe, aefc, deig, bcie.",73,easy1,0,13,72_easy1.jpg
73,"#74. Looking horizontally and vertically to the lines ofthe grid below, which is the number 2 places away from itselfmultiplied by 2 and 2 places away from itself plus 2?; 43; 46; 28; 33; 38; 3342; 8; 33; 17; 10; 2119; 47; 21; 39; 43; 456; 23; 15; 32; 10; 2538; 2; 22; 42; 8; 1039; 4; 20; 10; 24; 24; ","#74. The correct answer is 19. The number is locatedat row 1, column 3.",74,easy1,0,19,73_easy1.jpg
74,#75. All attendees to a party are introduced to oneanother. 15 handshakes are made in total. How many peopleare attending the party? ,"#75. The correct answer is 6. Using n as the totalnumber of people, the ﬁrst person handshakes n-1 people, thesecond n-2 people, etc. The result is the sum of the ﬁrst n-1consecutive numbers: 1+2+3+...+(n-1).",75,easy1,0,6,74_easy1.jpg
75,#76. T wo men starting at the same point walk inopposite directions for 12 feet. Both turn left and walk another9 feet. What is the distance between them? ,"#76. The correct answer is B. Using the Pythagoreantheorem, the solution is 2 by the square root of (12^2 +9^2).",76,easy1,0,B,75_easy1.jpg
76,#77. Which of the following ﬁgures has the largestarea? ,#77. The correct answer is D.; ,77,easy1,0,D,76_easy1.jpg
77,#78. Which is the next logical ﬁgure in the sequence?,"#78. The correct answer is A. From ﬁrst ﬁgure, the topcircle advances by two positions clockwise, while the left circlegoes backwards one position.",78,easy1,0,A,77_easy1.jpg
78,#79. T o what number should the large handle of the'Figure D' clock point? Answer using numbers.; ,"#79. The correct answer is 9. Starting from the ﬁrstclock, add 5 to the number obtained by appending the valuesto which the hands point. For example, the value of the handsfor 'Figure D' is 39 (34 + 5).",79,easy1,0,9,78_easy1.jpg
79,"#80. In a tennis tournament, in every match a player iseliminated after losing to a single opponent. How manymatches does it take to determine the winner of a tennistournament that starts with 46 players?","#80. The correct answer is 45. In every match youeliminate one player. Therefore, the result is the total numberof player minus one.",80,easy1,0,45,79_easy1.jpg
80,#81. One of the numbers in the grid must be circled.Which one?; 75 7 61 66; 37 32 80 39; 76 59 43 93; 14 55 99 90,#81. The correct answer is 76. Every circled numbercan be divided by 2.,81,easy1,0,76,80_easy1.jpg
81,#82. A ﬁle is protected by a password formed by a 5digits number represented in base 10 (ranging from 0 to 9).How many diﬀerent passwords can you have?; ,#82. The correct answer is 100000. Every digit has 10possibilities. The total number of possibilities is 10 at thepower of 5.,82,easy1,0,100000,81_easy1.jpg
82,#83. How many triangles of any size do you count inthe ﬁgure below? ,"#83. The correct answer is 8. The triangles are made byconnecting the following points: dcf, ade, acg, afg, ecg, acd,acf, ace.",83,easy1,0,8,82_easy1.jpg
83,"#84. If p < x < q and r < y < s and you know that x >y is true, which of the following options is correct? ","#84. The correct answer is C. If x > y, then r < y < x <q, so r < q is true.",84,easy1,0,C,83_easy1.jpg
84,#85. How much weight is needed at the point indicatedby the question mark to balance the lever?; ?4,#85. The correct answer is 8. A lever is in equilibriumwhen the objects placed on it are at a distances reciprocallyproportional to their weights.,85,easy1,0,8,84_easy1.jpg
85,#86. What is the result of the equation below?; 6 * 3 + 2 * 5 - 2 = ?; ,"#86. The correct answer is 26. The order of arithmeticaloperations is always as follows: exponents and roots,multiplication and division, addition and subtraction.",86,easy1,0,26,85_easy1.jpg
86,#87. A ﬁle is protected by a password formed by a 2digits represented in base 8 (ranging from 0 to 7). How manydiﬀerent passwords can you have? ,#87. The correct answer is 64. Every digit has 8possibilities. The total number of possibilities is 8 at the powerof 2.,87,easy1,0,64,86_easy1.jpg
87,#88. Which of the possible answers have the most incommon with the four given ﬁgures? ,#88. The correct answer is A. It has the same numberof elements inside the ﬁgure as the given ﬁgures.,88,easy1,0,A,87_easy1.jpg
88,#89. What is the maximum number of circles (asshown) that ﬁt in the square below?; 8 units8 units1 unit1 unit,#89. The correct answer is 68. Using the above layout0.134 units of height are gained per row leaving enoughspace for an additional row.; ,89,easy1,0,68,88_easy1.jpg
89,#90. How many small cubes does it take to build thelarge cube below? Answer using a number.; ,#90. The correct answer is 64.,90,easy1,0,64,89_easy1.jpg
90,"#91. You have two trucks that have a total weight of 60units. If the lighter truck weights 15 units less that half of theweight of the heavier truck, what is the weight of the lightertruck? ",#91. The correct answer is B. The heavier truck weights50 and the lighter 10.,91,easy1,0,B,90_easy1.jpg
91,"#92. On the dartboard below, where would you need tothrow the darts to add 120 points in 5 throws? Answer using alist of numbers (e.g.: 4, 5, 6, 3, 2); 6 3039 11","#92. The correct answer is 6, 6, 30, 39, 39.",92,easy1,0,"6, 6, 30, 39, 39",91_easy1.jpg
92,#93. John is 46 years old. His son is 2 years youngerthan half of John's age. How old is John's son? ,"#93. The correct answer is 21. John's son age isnowadays half of John's age minus 2, that is, (46 / 2) - 2.",93,easy1,0,21,92_easy1.jpg
93,#94. How many line segments in total are in the ﬁguresbelow? A line segment is a line between two points with nocrossing lines.; ,#94. The correct answer is 36. There are 15 lines in theﬁgure to the left and 21 in the ﬁgure to the right.,94,easy1,0,36,93_easy1.jpg
94,#95. The letters around the squares follow a pattern.Which letter should replace the question mark in the lastsquare?; C GKO; B FJNA; EI?,#95. The correct answer is M. Every letter is calculatedby taking the alphabetical position of the previous characterand adding 4 to it in order to get the position of the nextletter.,95,easy1,0,M,94_easy1.jpg
95,"#96. In a small town, 70% of the inhabitants have a carand 20% have a car and are males. What percentage of thepopulation are females and have a car? ",#96. The correct answer is A. 50% (70 - 20) of theinhabitants are women and have a car.,96,easy1,0,A,95_easy1.jpg
96,#97. The ﬁgures and the texts are related. What textshould go under the last ﬁgure?; CDE ACF BDF; ABE ?,"#97. The correct answer is ABF . 'A' indicates that theﬁgures overlap, 'B' that are squares, 'C' that are circles, 'D'that the ﬁgures are separated, 'E' that there are three ﬁguresand 'F' that there are two ﬁgures.",97,easy1,0,ABF,96_easy1.jpg
97,"#98. John's age is nowadays 2 times his son's age. 12years ago, John was 3 times as old as his son. How old is John'sson nowadays?; ","#98. The correct answer is 24. John's age (variable x) isnowadays 2 times his son's age (variable y), that is x = 2y,and 12 years ago, John was 3 times as old as his son: x - 12 =(y - 12) * 3.",98,easy1,0,24,97_easy1.jpg
98,#99. How many circles do you count? ,#99. The correct answer is 7.,99,easy1,0,7,98_easy1.jpg
99,#100. You have 300 monetary units in your bankaccount at 10% interest compounded annually . How muchmoney will you have at the end of 2 years?; ,#100. The correct answer is 363. Compound interest ispaid on the principal plus any past interest accumulated.,100,easy1,0,363,99_easy1.jpg
